Year	TotExpGDP.x	FedExpGDP	FedExpGDPOnBudget	FedExpGDPOffBudget	NIPAExpGDP	SLExpGDP.x	TotExpB.x	FedExpB	FedExpBOnBudget	FedExpBOffBudget	NIPAExpB	SLExpB.x	TotSurDefB	FedSurDefB	FedSurDefBOnBudget	FedSurDefBOffBudget	NIPASurDefB	TotSurDefGDP	FedSurDefGDP	SLSurDefGDP	TotRecB	FedRecB	FedRecBOnBudget	FedRecBOffBudget	NIPARecB	GDP	TotRecGDP	FedRecGDP	SLRecGDP	Congress	SenTotal	SenDemocrats	SenRepublicans	SenOthers	SenVacancies	HouseTotal	HouseDemocrats	HouseRepublicans	HouseOthers	HouseVacancies	President	PresParty	TotExpGDP.y	FedDefenseExpGDP	FedInterestExpGDP	FedSSExpGDP	FedOtherIndExpGDP	FedOtherExpGDP	SLExpGDP.y	TotExpB.y	FedDefenseExpB	FedInterestExpB	FedSSExpB	FedOtherIndExpB	FedOtherExpB	SLExpB.y
1948	17.2	11.3	11.2	0.1	0.4	5.9	45.2	29.8	29.4	0.4	1.1	15.4	10.5	11.8	10.5	1.2	-1.3	4	4.5	-0.5	55.6	41.6	39.9	1.6	14.1	262.4	21.2	15.8	5.4	80th	96	45	51	0	0	435	188	246	1	0	Harry S. Truman	D	17.2	5.2	1.8	0.2	3.2	1.1	5.7	45.2	13.7	4.8	0.5	8.5	2.8	15
1949	20.4	14	13.9	0.2	0.6	6.4	56.5	38.8	38.4	0.4	1.6	17.6	-1.5	0.6	-0.7	1.3	-2.1	-0.5	0.2	-0.8	55	39.4	37.7	1.7	15.5	276.8	19.9	14.2	5.6	81st	96	54	42	0	0	435	263	171	1	0	Harry S. Truman	D	20.4	6.9	1.8	0.2	3.4	1.9	6.2	56.5	19.2	5	0.6	9.3	5.2	17.1
1950	22.6	15.3	15.1	0.2	0.7	7.3	62.9	42.6	42	0.5	1.9	20.4	-6.6	-3.1	-4.7	1.6	-3.5	-2.4	-1.1	-1.2	56.3	39.4	37.3	2.1	16.9	279	20.2	14.1	6.1	81st	96	54	42	0	0	435	263	171	1	0	Harry S. Truman	D	22.6	6.6	1.9	0.3	4.6	2.1	7.1	62.9	18.4	5.4	0.7	12.8	5.8	19.8
1951	20.6	13.9	13.5	0.4	0.6	6.7	67.3	45.5	44.2	1.3	1.9	21.8	3.1	6.1	4.3	1.8	-3	1	1.9	-0.9	70.5	51.6	48.5	3.1	18.9	327.4	21.5	15.8	5.8	82nd	96	48	47	1	0	435	234	199	2	0	Harry S. Truman	D	20.6	8.3	1.6	0.5	2.7	1	6.5	67.3	27.2	5.3	1.5	8.9	3.2	21.2
1952	25.5	18.9	18.4	0.5	0.5	6.5	91.1	67.7	66	1.7	1.9	23.4	-4.6	-1.5	-3.4	1.9	-3	-1.3	-0.4	-0.8	86.5	66.2	62.6	3.6	20.4	357.5	24.2	18.5	5.7	82nd	96	48	47	1	0	435	234	199	2	0	Harry S. Truman	D	25.5	13.6	1.5	0.6	2.5	0.9	6.4	91.1	48.8	5.4	2	9.1	3.1	22.7
1953	26.3	19.9	19.3	0.6	0.6	6.4	100.8	76.1	73.8	2.3	2.2	24.7	-9	-6.5	-8.3	1.8	-2.5	-2.4	-1.7	-0.7	91.7	69.6	65.5	4.1	22.1	382.5	24	18.2	5.8	83rd	96	46	48	2	0	435	213	221	1	0	Dwight D. Eisenhower	R	26.3	14.4	1.6	0.7	2.2	1.3	6.2	100.8	54.9	5.9	2.6	8.4	5	23.9
1954	25.2	18.3	17.5	0.8	0.6	7	97.9	70.9	67.9	2.9	2.2	27	-4.6	-1.2	-2.8	1.7	-3.4	-1.2	-0.3	-0.9	93.3	69.7	65.1	4.6	23.6	387.7	24.1	18	6.1	83rd	96	46	48	2	0	435	213	221	1	0	Dwight D. Eisenhower	R	25.2	13.1	1.5	0.8	2.3	0.8	6.7	97.9	50.9	5.7	3.3	9	2.9	26.1
1955	24.3	16.8	15.8	1	0.6	7.5	98.8	68.4	64.5	4	2.3	30.4	-8.1	-3	-4.1	1.1	-5.2	-2	-0.7	-1.3	90.7	65.5	60.4	5.1	25.2	407	22.3	16.1	6.2	84th	96	48	47	1	0	435	232	203	0	0	Dwight D. Eisenhower	R	24.3	11	1.4	1.1	2.4	1.1	7.2	98.8	45	5.9	4.3	9.8	4.5	29.4
1956	23.6	16.1	15	1.1	0.5	7.5	103.6	70.6	65.7	5	2.3	32.9	-0.8	3.9	2.5	1.5	-4.8	-0.2	0.9	-1.1	102.7	74.6	68.2	6.4	28.1	439	23.4	17	6.4	84th	96	48	47	1	0	435	232	203	0	0	Dwight D. Eisenhower	R	23.6	10.2	1.4	1.2	2.2	1.2	7.2	103.6	44.9	6.2	5.4	9.9	5.4	31.8
1957	24.3	16.5	15.2	1.3	0.6	7.8	112.8	76.6	70.6	6	2.6	36.2	-2.2	3.4	2.6	0.8	-5.6	-0.5	0.7	-1.2	110.6	80	73.2	6.8	30.6	464.2	23.8	17.2	6.6	85th	96	49	47	0	0	435	234	201	0	0	Dwight D. Eisenhower	R	24.3	10.5	1.4	1.4	2.3	1.2	7.5	112.8	48.6	6.6	6.5	10.6	5.6	35
