Year	TotExpB	FedExpB	FedExpBOnBudget	FedExpBOffBudget	NIPAExpB	SLExpB
1948	45.2	29.8	29.4	0.4	1.1	15.4
1949	56.5	38.8	38.4	0.4	1.6	17.6
1950	62.9	42.6	42	0.5	1.9	20.4
1951	67.3	45.5	44.2	1.3	1.9	21.8
1952	91.1	67.7	66	1.7	1.9	23.4
1953	100.8	76.1	73.8	2.3	2.2	24.7
1954	97.9	70.9	67.9	2.9	2.2	27
1955	98.8	68.4	64.5	4	2.3	30.4
1956	103.6	70.6	65.7	5	2.3	32.9
1957	112.8	76.6	70.6	6	2.6	36.2
1958	122.4	82.4	74.9	7.5	2.9	40
1959	135.6	92.1	83.1	9	3.5	43.5
1960	137.4	92.2	81.3	10.9	3.8	45.2
1961	147	97.7	86	11.7	4	49.3
1962	159.8	106.8	93.3	13.5	4.5	53
1963	167.6	111.3	96.4	15	4.9	56.3
1964	179.7	118.5	102.8	15.7	5.7	61.2
1965	184.1	118.2	101.7	16.5	6.3	65.9
1966	206.8	134.5	114.8	19.7	7.9	72.2
1967	236.6	157.5	137	20.4	9.9	79.1
1968	266.2	178.1	155.8	22.3	11.9	88
1969	283.3	183.6	158.4	25.2	12.2	99.6
1970	302.3	195.6	168	27.6	16.1	106.6
1971	330.2	210.2	177.3	32.8	20.4	120
1972	360.8	230.7	193.5	37.2	25.8	130.1
1973	382.9	245.7	200	45.7	33	137.2
1974	422.7	269.4	216.5	52.9	33.4	153.3
1975	507.6	332.3	270.8	61.6	38.9	175.2
1976	563.2	371.8	301.1	70.7	46.2	191.4
1977	611.9	409.2	328.7	80.5	53.4	202.7
1978	675.9	458.7	369.6	89.2	61.6	217.2
1979	743.9	504	404.9	99.1	63.6	239.9
1980	857.8	590.9	477	113.9	68.3	266.9
1981	967.8	678.2	543	135.3	70.9	289.5
1982	1061.5	745.7	594.9	150.9	65.7	315.8
1983	1149.8	808.4	660.9	147.4	67.7	341.4
1984	1219.1	851.8	685.6	166.2	70.4	367.3
1985	1350.1	946.3	769.4	176.9	75.2	403.8
1986	1431	990.4	806.8	183.5	82.4	440.7
1987	1487.5	1004	809.2	194.8	79	483.5
1988	1582.5	1064.4	860	204.4	83.5	518
1989	1710.4	1143.7	932.8	210.9	90.1	566.6
1990	1876.2	1253	1027.9	225.1	100.8	623.2
1991	2001.8	1324.2	1082.5	241.7	117.9	677.6
1992	2116.4	1381.5	1129.2	252.3	138.2	734.9
1993	2176	1409.4	1142.8	266.6	150.1	766.6
1994	2257	1461.8	1182.4	279.4	164.9	795.3
1995	2360.8	1515.7	1227.1	288.7	175.1	845.1
1996	2430.1	1560.5	1259.6	300.9	179.1	869.7
1997	2512.9	1601.1	1290.5	310.6	183.9	911.7
1998	2594.6	1652.5	1335.9	316.6	198.5	942.1
1999	2711.6	1701.8	1381.1	320.8	214.2	1009.8
2000	2870	1789	1458.2	330.8	229.6	1081.1
2001	3043.6	1862.8	1516	346.8	254	1180.8
2002	3290.2	2010.9	1655.2	355.7	279.9	1279.3
2003	3507.4	2159.9	1796.9	363	312.4	1347.5
2004	3701.6	2292.8	1913.3	379.5	330.7	1408.8
2005	3951.6	2472	2069.7	402.2	341.8	1479.7
2006	4204.9	2655.1	2233	422.1	343.3	1549.9
2007	4378.6	2728.7	2275	453.6	352.4	1649.9
2008	4743.1	2982.5	2507.8	474.8	365.8	1760.5
2009	5338	3517.7	3000.7	517	434.4	1820.3
2010	5274.2	3457.1	2902.4	554.7	494.6	1817.1
2011	5427.3	3603.1	3104.5	498.6	492.3	1824.2
2012	5420.4	3537	3029.4	507.6	442	1883.5
2013	5378.4	3454.6	2820.8	633.8	450.8	1923.8
2014	5463.4	3506.1	2800	706.1	485.6	1957.3
