Year	TotRecB	FedRecB	FedRecBOnBudget	FedRecBOffBudget	NIPARecB	GDP	TotRecGDP	FedRecGDP	SLRecGDP
1948	55.6	41.6	39.9	1.6	14.1	262.4	21.2	15.8	5.4
1949	55	39.4	37.7	1.7	15.5	276.8	19.9	14.2	5.6
1950	56.3	39.4	37.3	2.1	16.9	279	20.2	14.1	6.1
1951	70.5	51.6	48.5	3.1	18.9	327.4	21.5	15.8	5.8
1952	86.5	66.2	62.6	3.6	20.4	357.5	24.2	18.5	5.7
1953	91.7	69.6	65.5	4.1	22.1	382.5	24	18.2	5.8
1954	93.3	69.7	65.1	4.6	23.6	387.7	24.1	18	6.1
1955	90.7	65.5	60.4	5.1	25.2	407	22.3	16.1	6.2
1956	102.7	74.6	68.2	6.4	28.1	439	23.4	17	6.4
1957	110.6	80	73.2	6.8	30.6	464.2	23.8	17.2	6.6
1958	112	79.6	71.6	8	32.4	474.3	23.6	16.8	6.8
1959	114.1	79.2	71	8.3	34.9	505.6	22.6	15.7	6.9
1960	130.6	92.5	81.9	10.6	38.1	535.1	24.4	17.3	7.1
1961	135.7	94.4	82.3	12.1	41.3	547.6	24.8	17.2	7.5
1962	144.3	99.7	87.4	12.3	44.6	586.9	24.6	17	7.6
1963	154.4	106.6	92.4	14.2	47.9	619.3	24.9	17.2	7.7
1964	164.4	112.6	96.2	16.4	51.8	662.9	24.8	17	7.8
1965	172.4	116.8	100.1	16.7	55.6	710.7	24.3	16.4	7.8
1966	192.1	130.8	111.7	19.1	61.3	781.9	24.6	16.7	7.8
1967	214.3	148.8	124.4	24.4	65.4	838.2	25.6	17.8	7.8
1968	227.3	153	128.1	24.9	74.3	899.3	25.3	17	8.3
1969	269.8	186.9	157.9	29	82.9	982.3	27.5	19	8.4
1970	286.3	192.8	159.3	33.5	93.5	1049.1	27.3	18.4	8.9
1971	287.9	187.1	151.3	35.8	100.7	1119.3	25.7	16.7	9
1972	323.5	207.3	167.4	39.9	116.2	1219.5	26.5	17	9.5
1973	359.1	230.8	184.7	46.1	128.3	1356	26.5	17	9.5
1974	402.1	263.2	209.3	53.9	138.9	1486.2	27.1	17.7	9.3
1975	428.4	279.1	216.6	62.5	149.3	1610.6	26.6	17.3	9.3
1976	463.3	298.1	231.7	66.4	165.2	1790.3	25.9	16.6	9.2
1977	545	355.6	278.7	76.8	189.4	2028.4	26.9	17.5	9.3
1978	608.5	399.6	314.2	85.4	208.9	2278.2	26.7	17.5	9.2
1979	683.4	463.3	365.3	98	220.1	2570	26.6	18	8.6
1980	756.7	517.1	403.9	113.2	239.6	2796.8	27.1	18.5	8.6
1981	863.1	599.3	469.1	130.2	263.9	3138.4	27.5	19.1	8.4
1982	904.9	617.8	474.3	143.5	287.1	3313.9	27.3	18.6	8.7
1983	913.3	600.6	453.2	147.3	312.7	3541.1	25.8	17	8.8
1984	1021.4	666.4	500.4	166.1	355	3952.8	25.8	16.9	9
1985	1117.7	734	547.9	186.2	383.7	4270.4	26.2	17.2	9
1986	1183.3	769.2	568.9	200.2	414.1	4536.1	26.1	17	9.1
1987	1305.1	854.3	640.9	213.4	450.8	4781.9	27.3	17.9	9.4
1988	1393.1	909.2	667.7	241.5	483.9	5155.1	27	17.6	9.4
1989	1512.5	991.1	727.4	263.7	521.4	5570	27.2	17.8	9.4
1990	1584.6	1032	750.3	281.7	552.7	5914.6	26.8	17.4	9.3
1991	1642	1055	761.1	293.9	587	6110.1	26.9	17.3	9.6
1992	1716.4	1091.2	788.8	302.4	625.2	6434.7	26.7	17	9.7
1993	1818.4	1154.3	842.4	311.9	664.1	6794.9	26.8	17	9.8
1994	1960.7	1258.6	923.5	335	702.1	7197.8	27.2	17.5	9.8
1995	2090.5	1351.8	1000.7	351.1	738.7	7583.4	27.6	17.8	9.7
1996	2232.6	1453.1	1085.6	367.5	779.5	7978.3	28	18.2	9.8
1997	2400.3	1579.2	1187.2	392	821.1	8483.2	28.3	18.6	9.7
1998	2584.7	1721.7	1305.9	415.8	862.9	8954.8	28.9	19.2	9.6
1999	2744.1	1827.5	1383	444.5	916.6	9510.5	28.9	19.2	9.6
2000	3002	2025.2	1544.6	480.6	976.8	10148.2	29.6	20	9.6
2001	3005.3	1991.1	1483.6	507.5	1014.2	10564.6	28.4	18.8	9.6
2002	2880.9	1853.1	1337.8	515.3	1027.7	10876.9	26.5	17	9.4
2003	2851.3	1782.3	1258.5	523.8	1069	11332.4	25.2	15.7	9.4
2004	3035.3	1880.1	1345.4	534.7	1155.2	12088.6	25.1	15.6	9.6
2005	3422	2153.6	1576.1	577.5	1268.4	12888.9	26.5	16.7	9.8
2006	3767.7	2406.9	1798.5	608.4	1360.9	13684.7	27.5	17.6	9.9
2007	3992.7	2568	1932.9	635.1	1424.7	14322.9	27.9	17.9	9.9
2008	3980.8	2524	1865.9	658	1456.9	14752.4	27	17.1	9.9
2009	3491.5	2105	1451	654	1386.5	14414.6	24.2	14.6	9.6
2010	3580.5	2162.7	1531	631.7	1417.8	14798.5	24.2	14.6	9.6
2011	3787.6	2303.5	1737.7	565.8	1484.2	15379.2	24.6	15	9.7
2012	3993.3	2450	1880.5	569.5	1543.4	16026.4	24.9	15.3	9.6
2013	4379.5	2775.1	2101.8	673.3	1604.4	16581.6	26.4	16.7	9.7
2014	4657.6	3021.5	2285.9	735.6	1636.2	17244	27	17.5	9.5
